aid,view,danmaku,favorite,coin,share
38551379,4,0,2,1,2
38642149,34,0,0,2,0
38640540,16,0,3,6,1
38637594,18,4,2,2,1
38637432,17,0,2,5,0
38626471,408,2,11,7,0
38636654,274,2,3,1,2
38634593,72,17,5,10,3
38631698,18,0,4,8,3
38630254,1138,14,15,58,19
38631655,166,1,6,20,1
38631499,67,0,7,20,3
38629865,2762,84,112,102,4
38629608,22,0,3,2,0
38624836,542,34,24,30,0
38427906,2541,5,18,12,3
38426995,37,0,0,2,0
38415949,12493,120,372,282,187
38422780,4531,64,154,145,11
38423854,128,3,2,6,5
38422597,118,0,6,1,1
38414571,1095,7,33,94,13
38419625,49,0,1,3,0
38419149,136,2,4,11,0
38418819,781,0,11,2,4
38417508,46,0,2,2,2
38418203,8,0,1,2,1
38409503,83,0,11,36,5
38412246,1442,18,32,21,3
38411165,6961,87,234,96,10
38409640,449,5,33,47,8
38408873,12177,34,255,87,3
38407370,589,1,25,25,2
38413659,9556,168,230,175,7
38410805,837,0,31,54,4
38405597,216,1,7,6,1
38404795,100,1,3,4,2
38404924,751,1,27,14,7
38404210,6474,69,220,123,4
38403987,616,2,14,12,8
38407957,34,0,1,2,0
38406234,143,0,0,2,1
38405821,296,0,8,8,1
38402016,223,0,4,10,1
38403284,77,0,1,4,1
38400338,3018,30,325,365,48
38399588,86,0,4,8,8
38401172,77,0,6,7,1
38397499,55,1,6,8,4
38397878,18,0,1,2,0
38398118,1015,3,18,37,6
38397121,177,0,1,8,1
38397085,20,0,0,1,0
38396160,957,2,33,49,5
38396284,107,4,4,7,2
38396029,691,6,33,4,1
38394574,74,0,1,3,0
38395705,25,0,0,4,1
38394367,284,1,2,16,2
38390358,700,12,106,70,4
38391332,51,0,0,1,0
38389267,57,0,1,4,1
38389359,34,0,1,4,1
38387413,32,0,3,2,2
38386225,109,0,0,2,0
38384827,42,1,1,8,1
38385069,176,0,2,2,0
38383738,5453,68,225,168,9
38383816,165,1,6,7,0
38346475,4917,249,263,546,29
38380784,28464,172,1491,1219,59
38381649,858,5,71,52,8
38379208,717,20,35,26,2
38378038,825,8,19,31,5
38377947,291,11,31,40,4
38376639,165,0,2,7,3
38372888,227,2,8,18,1
38372414,175,1,1,10,5
38369311,48,0,5,2,1
38371524,11,1,1,2,0
38365376,32,0,1,2,0
38366565,80,0,2,5,0
38363601,195,0,0,4,0
38363773,221,1,7,1,0
38362659,587,2,27,47,9
38362321,49,0,1,2,0
38360312,688,7,47,39,5
38358521,54,0,1,3,1
38342733,5168,21,171,45,7
38357121,1353,1,59,39,9
38353655,80,0,0,4,4
38353026,71,0,4,6,2
38348022,11713,184,1275,831,333
38346472,5470,17,32,81,10
38329577,447,14,19,10,2
38233136,33,1,2,14,3
38347410,83,0,2,4,0
38348041,64,0,2,10,3
38334699,138,0,3,2,0
38346585,4575,37,208,401,64
38347038,46,0,1,2,0
38343717,2701,72,139,91,6
38342363,3499,121,254,117,9
38345994,237,1,6,6,3
38341209,35,0,0,2,1
38341524,53,0,3,2,2
38339075,55,0,1,4,3
38339211,40,0,2,2,0
38344798,87,0,2,2,0
38337799,67,0,2,4,1
38337481,138,0,4,19,3
38335691,62,3,4,6,0
38342882,136,2,0,2,5
38333421,28,1,3,4,0
38343654,115,2,4,1,2
38339154,1014,6,23,5,1
38301257,188,0,2,5,3
38298988,53,0,1,3,0
38330845,180,2,4,8,4
38330541,26,2,2,2,0
38201424,4314,125,181,319,5
38335421,2676,42,87,52,8
38335534,37,0,4,18,3
38329377,4390,144,178,92,4
38329668,93,1,3,3,1
38334411,104,1,3,2,0
38328605,27,0,2,5,0
38326243,2128,36,96,10,3
38326483,297,2,13,23,1
38324474,77,1,3,2,0
38329887,893,5,8,2,2
38324161,185,2,5,4,0
38326329,36,0,0,2,0
38326077,3,0,2,2,0
38317464,34,0,1,4,2
38321490,152,0,9,11,3
38321323,32,0,1,2,0
38315122,79,0,1,4,0
38313247,200,1,12,6,2
38318281,465,3,4,27,3
38318396,335,0,18,13,3
38316468,263,5,12,28,4
38315027,59,0,0,2,1
38313933,93,1,5,7,2
38314817,19,0,0,4,1
38314042,1785,3,23,13,0
38303215,3940,27,273,225,69
38313539,68,0,4,10,1
38311070,101,0,0,2,2
38312983,43,0,3,8,3
38306484,54,0,5,14,2
38311600,8990,137,358,121,11
38302319,73,0,5,17,1
38309517,28,0,1,2,0
38305351,57,0,2,4,1
38309769,1352,20,49,84,13
38293072,380,1,11,7,0
38306983,7,0,0,2,0
38307963,11,0,1,1,0
38306710,34,1,1,2,1
38303769,151,2,5,10,0
38300763,37,2,2,9,2
38302477,211,2,11,12,5
38296500,288,1,2,6,4
38298658,23,1,0,2,1
38297688,114,2,4,6,2
38297817,1793,4,68,13,5
38296529,344,5,11,17,12
38297358,310,0,15,24,1
38295105,4400,36,344,352,18
38297125,196,1,2,12,1
38293460,22603,377,1905,3549,761
38294093,192,0,5,1,2
38296251,1776,2,14,19,5
38292857,102,0,3,12,3
38292218,1155,39,38,68,2
38293942,205,6,12,19,3
38288735,63,0,3,2,0
38291065,604,4,21,38,3
38288875,37689,200,1686,2226,347
38290952,38,2,3,2,0
38288014,671,11,29,21,0
38287979,201,0,5,12,1
38288804,2999,9,56,27,5
38287254,37441,569,3129,3875,1593
38272281,50,2,1,6,4
38282841,169,0,14,2,0
38286047,8,0,0,2,0
38285389,117,1,4,12,2
38288445,98,1,1,4,0
38282995,29,0,1,6,1
38285473,1961,14,63,69,1
38285321,100,0,3,2,5
38284402,185,6,6,4,4
38286085,34,7,1,2,0
38280118,4,0,0,2,0
38265167,3080,50,127,16,4
38279128,1662,19,88,168,17
38278745,66,1,5,10,0
38276848,1600,14,14,21,4
38278614,96,2,3,7,3
38255700,9224,94,345,202,8
38276731,68,0,1,4,1
38247324,116,4,16,20,3
38273225,1456,6,44,15,0
38271923,961,12,16,55,8
38271197,227,1,111,5,3
38221447,220,5,10,16,1
38257012,1883,18,160,133,16
38269536,513,1,7,7,3
38268950,68,0,6,4,0
38268478,24,0,2,2,2
38267879,4,0,0,2,0
38267820,33,0,2,2,0
38267443,2557,27,198,199,22
38267583,1578,3,42,17,5
38263070,161,0,3,10,2
38261010,101,2,2,4,2
38262503,395,1,10,23,4
38265103,125,0,0,2,0
38264873,146,0,4,2,3
38264288,84,0,3,4,0
38260511,83,0,3,4,3
37977800,62,0,7,17,0
38261404,6398,140,279,234,11
38261939,4426,70,274,104,7
38262936,54,0,2,6,0
38262762,88,3,5,9,2
38257570,49,0,3,9,0
38258131,2707,75,146,156,6
38260508,3241,57,104,68,2
38258010,907,3,27,16,2
38256685,2095,9,116,69,0
38257399,1177,20,55,148,46
38257755,41,1,2,7,2
38255928,183,0,17,2,0
38256890,9,0,0,4,0
38262027,24,0,2,4,1
38255810,26,0,0,4,0
38255679,143,4,9,6,0
38261161,11527,364,733,767,12
38253856,248,2,6,16,1
38250814,9,0,1,2,0
38250411,78,0,2,2,0
38258225,51,0,0,8,4
38248094,2071,52,123,121,65
38250247,38,0,2,2,0
38248270,190,5,4,6,3
38228687,36,0,2,3,0
38256911,47,1,2,2,3
38247268,83,0,0,3,1
38246892,18,0,0,1,0
38254618,1942,14,164,41,17
38246498,328,18,13,4,1
38252865,23,0,1,1,1
38245375,10247,213,480,617,16
38250837,44,4,5,6,2
38250093,7725,147,231,314,4
38244402,1937,21,111,98,2
38243192,621,1,15,10,0
38246671,11100,283,457,767,22
38242223,82,0,6,7,1
38246501,83,1,0,2,1
38242281,10169,96,427,197,11
38241530,201,1,4,10,4
38245483,194,0,9,4,0
38244075,130,0,12,4,1
38244084,22,0,2,4,0
38239394,63,0,0,4,1
38237780,2679,34,154,57,7
38238306,89,0,4,10,2
38237251,49,1,0,4,1
38237062,29,0,1,2,1
38235783,43,0,1,4,0
38234326,10,2,1,2,0
38234802,234,0,3,2,0
38233970,2480,23,64,92,47
38230300,8119,123,235,144,7
38198800,71,0,0,4,3
38228733,223,0,14,10,2
38226671,2189,11,83,119,2
38227414,33,1,2,2,0
38226379,69,0,3,6,1
38226313,86,2,5,6,3
38227098,1538,12,33,36,7
38225663,6709,72,404,318,23
38224929,4482,42,466,594,96
38223298,219,1,10,3,1
38224176,62,0,2,9,1
38222337,12452,58,801,511,42
38222722,554,1,15,3,0
38222378,162,2,1,2,2
38219912,22,1,3,2,0
38220676,133,0,2,2,1
38220151,14853,170,307,274,81
38219429,366,9,5,19,0
38219122,180,0,1,1,1
38218476,382,42,5,2,0
38218669,3368,17,237,7,12
38218054,80204,249,1375,2237,485
38216955,489,0,15,15,1
38216868,73,2,4,8,0
38216472,158,0,3,4,0
38216303,250,2,1,4,0
38216125,2503,0,17,25,3
38215557,21,0,3,7,1
38214663,13,1,1,2,0
38213811,1398,5,63,25,1
38213931,11545,76,357,218,46
38210762,148,0,12,10,2
38210874,1672,7,48,69,7
38212225,661,2,32,8,0
38210894,52,1,4,10,1
38209433,244,0,3,6,0
38209008,47,2,3,4,0
38206240,148,0,2,6,3
38624735,49,0,0,2,0
38624952,21,0,1,2,2
38623669,55,0,3,4,2
