id,name,rank,fans,articles
21036,鈴科百合子,0.0006216733241659338,1752,579
68774,那谁Dg,0.00040162025798303814,1041,669
1648848,胯下,0.0004723811599076917,1499,243
25788,黎亦乔,0.0007556179750899918,2843,22
100618,清凉小桃,0.0002562301946106644,1196,44
514606,夏空の彼方,0.0004525555701332353,2295,3
168598,逍遥散人,0.005417646600645004,79118,158
392744,accelostorder,0.00035779390893529603,3267,16
63240,小猪打,0.0003041134645406924,1419,232
627440,叫我Ceci,0.0009484318975055769,1546,13
1858061,rikabaka,0.00025623019264406805,1151,8
644119,無音_ltlcwh,0.0002890346984262473,1052,72
386358,七海弥月,0.0003466605066633012,2671,96
186263,Erosion灬沉浮,0.0019832569860718445,2452,51
238289,luckAMV,0.001582299203840431,3170,234
7825,小葵,0.0005668705750935568,8396,45
198017,艾柔玛,0.0004224678018175238,1080,679
1605721,允星河Yoseya,0.00033330011605024144,2259,11
3092731,do335,0.0002970772646474767,1704,23
306805,小小☆精灵,0.0004007684867296564,2498,22
2294811,MadcatClan,0.00031247725065770046,2194,47
688622,银魂神威,0.00034207536180642505,1123,6
441882,一飞,0.0002633859131774417,1194,16
817187,zero月神,0.00033113673695011025,1283,124
700,胧鳞,0.0006740189806157916,1296,159
396212,半仙幸运E,0.0004164146319194515,3704,11
52522,露蒂丝,0.0012274583046242228,1381,15
363102,魇之翼,0.0002562301875641868,1497,45
643619,迟栗,0.0002738379515728626,1703,148
620955,POPOZY,0.00027395568768121014,1824,23
1643718,山下智博,0.0026252030084684764,26412,22
292208,宿命传说,0.000693038836903843,2190,267
883968,暴走漫画,0.004647835181637909,97480,54
228342,空耳YAYA,0.0006052667501607811,4264,76
1438981,暴走の龙猫,0.0003701551692769243,1981,10
124416,ここにいるよ,0.004067033215438247,5449,1154
28110,電紙騎士,0.0002562301875641868,2300,37
1078,ATM,0.0006357182739562653,1446,132
31129,叶落秋霜,0.0018150981715404143,3598,192
410262,存在感为零的人,0.0006695367793905295,2221,381
592002,真·菊苣,0.0006306053365969806,1409,376
5930,辰音奈奈,0.00033467652209306236,2114,27
567079,胖哒哒卜,0.0004466832557237147,1166,307
1348,西方良目仙人掌,0.004965513751924173,4626,1521
138252,Lu小鱼,0.0005774607571505368,6156,307
211043,海鸟在此,0.00035210587978923676,1194,26
856372,DonaldKong,0.00027291088628513037,1603,49
118167,舞切响子,0.0006981750834388672,5635,39
639108,指猫,0.0004062209112863904,2046,2086
618147,小然参上,0.00044557262839027025,1188,5
777175,喵叔叔Gj,0.00025623017349208775,2860,24
258352,那白岚,0.002723186781714234,10006,1040
16,荼荼丸,0.0024307206606437475,1999,2
131214,Animer,0.0002755215376021078,1350,420
216325,Samurai-,0.00031471434377929985,2017,40
374377,泪腺战士,0.03860203869453029,106880,69
3235406,我有一头小火车,0.00027386546210947003,1288,11
265601,洩矢·H·诹访子,0.0003083701505329895,3827,23
2417235,恶狼电台,0.00026538761552548915,1614,258
78270,敏敏,0.002766342427989357,2277,309
2530625,Iammysure,0.00037343040985627854,1144,3
3404595,卡布叻,0.0005333271044657477,8005,1
647192,撸撸茶,0.00026560061363998475,1028,16
132704,反犬TDog,0.0012605143675691684,21600,7
137409,Akaru_,0.001973380838898879,1829,11
22450,chiroro,0.0008283180951104422,1229,24
1792297,Miss排位日记,0.0004114649614199152,6976,34
515320,那一片淡蓝色,0.00025980057030351635,4136,61
271055,ttbt,0.00035725097361439346,1098,218
2132918,Rt·麟音,0.00027137542757320495,3761,4
53261,G线上的魔调,0.002284280440768736,1036,290
3506,车牌,0.0006133066022338689,1240,1170
2691287,林小巫,0.0004230753464550918,2882,13
917545,绅士向,0.00031136780741262363,4153,97
180022,坑爹吃货-Vivi,0.0008832491037229688,1497,13
108377,OSAMA,0.0003665759315097089,1097,47
512480,YUKIri,0.0017891766241143433,28432,38
764629,宇文不及格,0.0004297968701261586,3443,9
